epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.817,1.15067,3.23854,1.4415,0.26484,0.4084,0.22367,0.16155,1.10124,7.73286,1.50709,0.000275,0.000275,0.000275
1,128.019,1.14849,3.24648,1.44137,0.14774,0.65126,0.19919,0.13451,1.1757,6.97512,1.58859,0.000275,0.000275,0.000275
2,247.682,1.14238,2.14485,1.4124,0.42128,0.28501,0.14288,0.09265,1.58082,10.4785,2.0347,0.000556931,0.000556931,0.000556931
3,366.038,1.28054,2.19909,1.48526,0.09607,0.33249,0.11233,0.06243,1.46314,5.70506,2.23338,0.00083317,0.00083317,0.00083317
4,484.715,1.27309,1.98942,1.50455,0.2452,0.52997,0.25269,0.13185,1.73672,5.03412,2.81333,0.00110372,0.00110372,0.00110372
5,605.945,1.35644,2.0825,1.55702,0.50207,0.28081,0.17457,0.1145,1.49955,13.4316,2.14657,0.0012005,0.0012005,0.0012005
6,726.656,1.32677,2.06282,1.60317,0.7429,0.14286,0.08602,0.04774,1.80164,7.02621,2.54284,0.00118812,0.00118812,0.00118812
7,853.595,1.31432,1.92639,1.50926,0.17939,0.48531,0.21308,0.10354,1.68524,2.99153,2.36105,0.00117575,0.00117575,0.00117575
8,979.808,1.28733,1.81688,1.51151,0.42759,0.30756,0.19578,0.13286,1.59418,3.68794,2.31938,0.00116337,0.00116337,0.00116337
9,1106.55,1.3055,1.84757,1.54941,0.31821,0.3563,0.25632,0.15032,1.63956,7.36891,2.33533,0.001151,0.001151,0.001151
10,1233.46,1.3032,1.84266,1.52819,0.46098,0.11765,0.11455,0.05597,1.36794,5.8613,1.8895,0.00113863,0.00113863,0.00113863
11,1359.57,1.25007,1.81717,1.47963,0.42305,0.4459,0.31476,0.20888,1.40082,2.63743,1.8664,0.00112625,0.00112625,0.00112625
12,1486.22,1.27176,1.72808,1.51305,0.4777,0.37038,0.33397,0.21224,1.38956,3.35312,1.84798,0.00111388,0.00111388,0.00111388
13,1614.24,1.28894,1.8055,1.50395,0.19972,0.47899,0.2408,0.15334,1.76513,3.31013,2.04522,0.0011015,0.0011015,0.0011015
14,1755.49,1.25244,1.65753,1.46809,0.15344,0.3098,0.16313,0.08351,1.98097,5.40562,2.26479,0.00108913,0.00108913,0.00108913
15,1889.41,1.21078,1.63837,1.47959,0.22853,0.48361,0.28005,0.17142,1.37853,2.9097,1.78579,0.00107675,0.00107675,0.00107675
1,60.2509,1.14094,2.80663,1.47567,0.43116,0.58037,0.39217,0.27972,1.01916,5.38092,1.23452,0.00015,0.00015,0.00015
2,120.758,1.04871,1.90401,1.26738,0.56568,0.60435,0.60489,0.44846,1.07296,3.84422,1.26508,0.000309406,0.000309406,0.000309406
3,180.107,1.02838,1.60062,1.22023,0.61363,0.49872,0.55713,0.3952,1.17562,4.51812,1.42347,0.000465595,0.000465595,0.000465595
4,240.951,1.03728,1.65318,1.26335,0.47666,0.53282,0.4711,0.28944,1.40831,4.47673,1.70948,0.000618566,0.000618566,0.000618566
5,297.405,1.02461,1.3866,1.20899,0.46767,0.6578,0.54815,0.34933,1.43842,2.25676,1.83874,0.00076832,0.00076832,0.00076832
6,354.77,1.15214,1.4899,1.29306,0.2303,0.44176,0.33313,0.17539,1.74408,6.97948,2.28035,0.000914856,0.000914856,0.000914856
7,409.588,1.13836,1.47217,1.27257,0.30697,0.31594,0.26885,0.15444,1.80677,4.3985,2.17541,0.00105817,0.00105817,0.00105817
8,470.769,1.16816,1.49241,1.32154,0.30958,0.39744,0.36036,0.24243,1.52189,4.752,1.94167,0.00116337,0.00116337,0.00116337
9,531.151,1.18621,1.40879,1.31351,0.54644,0.43163,0.43835,0.24407,1.47865,4.45551,1.75617,0.001151,0.001151,0.001151
10,594.579,1.16472,1.38971,1.31505,0.58533,0.59717,0.54763,0.32544,1.64505,2.75442,2.52309,0.00113863,0.00113863,0.00113863
11,656.024,1.17309,1.37427,1.30702,0.29302,0.39514,0.24909,0.16083,1.48988,3.50297,1.89332,0.00112625,0.00112625,0.00112625
12,717.587,1.14208,1.36175,1.29864,0.2772,0.30929,0.23391,0.13958,1.60253,7.38901,1.9104,0.00111388,0.00111388,0.00111388
13,779.972,1.1147,1.31892,1.26519,0.50313,0.52762,0.46692,0.30569,1.47234,2.13889,1.64462,0.0011015,0.0011015,0.0011015
14,841.983,1.09964,1.28705,1.25517,0.80016,0.44254,0.51341,0.33668,1.36577,1.64001,1.58246,0.00108913,0.00108913,0.00108913
15,903.968,1.03314,1.17229,1.21323,0.40004,0.43346,0.39384,0.2386,1.64237,2.35475,2.16938,0.00107675,0.00107675,0.00107675
